Name,Organization,Country,Publications,Citations,Citations Mean,Publication type,Open Access
wen-xing qin,fudan university shanghai cancer center,China,3,75,25.0,Journal,Gold
chunmei li,yunnan university ynu,China,3,27,9.0,Journal,Gold
tapas kumar goswami,indian veterinary research institute,India,3,220,73.33,Journal,Gold
vincenzo lagani,ilia state university,Georgia,3,88,29.33,Journal,Gold
ling huang,shanghai jiao tong university,China,3,29,9.67,Journal,Gold
yu-bo yang,chongqing university,China,3,26,8.67,Journal,Gold
heena shaman,translational health science and technology institute,India,3,152,50.67,Journal,Gold
shan-shan gao,anhui medical university,China,3,7,2.33,Journal,Gold
yuqing shi,national institute for viral disease control and prevention,China,3,2,0.67,Journal,Gold
hangming dong,nanfang hospital,China,3,11,3.67,Journal,Gold
xinyu tian,nanjing drum tower hospital,China,3,12,4.0,Journal,Gold
ru ma,beijing tsinghua chang gung hospital,China,3,8,2.67,Journal,Gold
arief nurrochmad,gadjah mada university,Indonesia,3,20,6.67,Journal,Gold
asmita anilkumar mehta,amrita institute of medical sciences and research centre,India,3,2,0.67,Journal,Gold
kui wang,eastern hepatobiliary surgery hospital,China,3,34,11.33,Journal,Gold
luis gustavo romani fernandes,state university of campinas,Brazil,3,27,9.0,Journal,Gold
ricardo choque choque-guevara,farvet (peru),Peru,3,40,13.33,Journal,Gold
paula barrionuevo,academia nacional de medicina,Argentina,3,8,2.67,Journal,Gold
jianling gao,soochow university,China,3,8,2.67,Journal,Gold
shan liu,sichuan university,China,3,44,14.67,Journal,Gold
yina li,renmin hospital of wuhan university,China,3,134,44.67,Journal,Gold
manling xue,air force medical university,China,3,13,4.33,Journal,Gold
na li,yucebio (china),China,3,28,9.33,Journal,Gold
samuel cota teixeira,federal university of uberlândia,Brazil,3,54,18.0,Journal,Gold
shengxi jin,sir run run shaw hospital,China,3,80,26.67,Journal,Gold
qin zhou,first affiliated hospital of chongqing medical university,China,3,71,23.67,Journal,Gold
di ge,zhongshan hospital,China,3,6,2.0,Journal,Gold
nian-zhi ning,state key laboratory of pathogen and biosecurity,China,3,31,10.33,Journal,Gold
xinhai zhu,jinan university,China,3,57,19.0,Journal,Gold
hui wang,shantou university medical college,China,3,31,10.33,Journal,Gold
cao zhang,mengchao hepatobiliary hospital,China,3,122,40.67,Journal,Gold
guang-hou shui,institute of genetics and developmental biology,China,3,14,4.67,Journal,Gold
shuangshuang mao,tongji hospital affiliated to tongji medical college of huazhong university of science & technology,China,3,13,4.33,Journal,Gold
shu-quan wei,south china university of technology,China,3,36,12.0,Journal,Gold
guangyuan liu,lanzhou veterinary research institute,China,3,12,4.0,Journal,Gold
abideen olurotimi salako,nigerian institute of medical research,Nigeria,3,60,20.0,Journal,Gold
min-li jin,dalian medical university,China,3,59,19.67,Journal,Gold
tang-you mao,beijing university of chinese medicine,China,3,206,68.67,Journal,Gold
ping li,union hospital,China,3,67,22.33,Journal,Gold
behnam mansoori,fasa university of medical sciences,"Iran, Islamic Rep.",3,36,12.0,Journal,Gold
shao-juan wang,xiamen university,China,3,15,5.0,Journal,Gold
tian-bin ren,tongji university,China,3,47,15.67,Journal,Gold
han-yu cao,first affiliated hospital of soochow university,China,3,7,2.33,Journal,Gold
xiao-jun zheng,southern medical university,China,3,56,18.67,Journal,Gold
fuqiang zhao,chongqing university,China,3,75,25.0,Journal,Gold
xu zhang,xuzhou medical college,China,3,1,0.33,Journal,Gold
digvijay verma,central council for research in homoeopathy,India,3,11,3.67,Journal,Gold
huajun zhang,xiangya hospital central south university,China,3,962,320.67,Journal,Gold
qiujing yu,university of electronic science and technology of china,China,3,152,50.67,Journal,Gold
yao jiang,union hospital tongji medical college huazhong university of science and technology,China,3,30,10.0,Journal,Gold
jizhen yu,fudan university,China,3,16,5.33,Journal,Gold
dachun zhuo,fudan university,China,3,14,4.67,Journal,Gold
chengguang zhang,huazhong agricultural university,China,3,92,30.67,Journal,Gold
ligang xing,shandong tumor hospital,China,3,4,1.33,Journal,Gold
lingwei kong,chengde medical university,China,3,71,23.67,Journal,Gold
lu tian,anhui medical university,China,3,19,6.33,Journal,Gold
ming li,nanjing medical university,China,3,71,23.67,Journal,Gold
xiaowei zhang,first hospital of china medical university,China,3,53,17.67,Journal,Gold
yajie zhao,henan cancer hospital,China,3,39,13.0,Journal,Gold
jiangqing chen,zhejiang university,China,3,40,13.33,Journal,Gold
chong wei,peking union medical college hospital,China,3,16,5.33,Journal,Gold
qiyi yi,anhui medical university,China,3,49,16.33,Journal,Gold
mingjie yan,central south university,China,3,116,38.67,Journal,Gold
shuwen wang,qilu hospital of shandong university,China,3,107,35.67,Journal,Gold
weiguo lu,first affiliated hospital of guangzhou university of chinese medicine,China,3,19,6.33,Journal,Gold
yabing du,first affiliated hospital of zhengzhou university,China,3,16,5.33,Journal,Gold
yu-ju wei,kaohsiung medical university,China,3,30,10.0,Journal,Gold
shijia kuang,sun yat-sen memorial hospital,China,3,28,9.33,Journal,Gold
hui xie,xiangnan university,China,3,19,6.33,Journal,Gold
di yang,chinese academy of medical sciences & peking union medical college,China,3,3,1.0,Journal,Gold
shiyi chen,huashan hospital,China,3,72,24.0,Journal,Gold
yanli gu,nanjing medical university,China,3,123,41.0,Journal,Gold
jian-jun zou,jiangsu hengrui medicine co ltd,China,3,180,60.0,Journal,Gold
ti yang,southern medical university,China,3,15,5.0,Journal,Gold
bin-yi xiao,sun yat-sen university cancer center,China,3,197,65.67,Journal,Gold
